# These are copied from the output of the lidar height script,,,
# UTC-5,,,m
date,first_row,range,height
2019-06-25,29,16,0.67265707
2019-06-25,113,12,0.15445133
2019-06-25,89,7,0.17895141
2019-06-25,37,18,0.16914782
2019-06-25,101,4,0.1758028
2019-06-25,157,25,0.15561069
2019-06-25,21,20,0.18014729
2019-06-25,97,12,0.13700999
2019-06-25,85,15,0.15445491
2019-06-25,89,25,0.16821735
2019-06-25,137,10,0.15708721
2019-06-25,81,17,0.17085205
2019-06-25,97,9,0.17825424
2019-06-25,9,1,0.11603279
2019-06-25,69,19,0.14136603
2019-06-25,33,8,0.24196899
2019-06-25,137,7,0.11854967
2019-06-25,69,18,0.1241793
2019-06-25,153,21,0.19332542
2019-06-25,49,21,0.12430281
2019-06-25,97,24,0.18415089
2019-06-25,153,15,0.21638928
2019-06-25,121,10,0.15186751
2019-06-25,145,17,0.14020798
2019-06-25,45,9,0.13540076
2019-06-25,145,2,0.14923686
2019-06-25,25,23,0.17578143
2019-06-25,77,4,0.18162931
2019-06-25,117,15,0.16109366
2019-06-25,37,16,0.47870508
2019-06-25,113,7,0.17491997
2019-06-25,153,4,0.22116002
2019-06-25,81,7,0.19190197
2019-06-25,117,23,0.21226547
2019-06-25,129,3,0.18006837
2019-06-25,45,3,0.17524439
2019-06-25,25,5,0.29015854
2019-06-25,149,20,0.29316109
2019-06-25,45,13,0.21881287
2019-06-25,109,12,0.13412231
2019-06-25,37,13,0.48979696
2019-06-25,145,14,0.18722067
2019-06-25,137,26,0.13488289
2019-06-25,133,10,0.163732
2019-06-25,49,22,0.21104859
2019-06-25,125,5,0.16489011
2019-06-25,13,19,0.20991177
2019-06-25,57,4,0.19120302
2019-06-25,65,16,0.19208716
2019-06-25,85,11,0.18736567
2019-06-25,61,25,0.14757695
2019-06-25,105,15,0.14867051
2019-06-25,61,5,0.15516713
2019-06-25,125,26,0.18705497
2019-06-25,73,15,0.167407
2019-06-25,45,12,0.13731887
2019-06-25,37,1,0.18026704
2019-06-25,17,19,0.17856848
2019-06-25,141,2,0.18603525
2019-06-25,133,22,0.14490149
2019-06-25,65,5,0.11602357
2019-06-25,65,23,0.14710805
2019-06-25,89,17,0.17991066
2019-06-25,5,20,0.16731789
2019-06-25,149,19,0.70980625
2019-06-25,45,26,0.16835146
2019-06-25,149,9,0.15518058
2019-06-25,1,14,0.21098178
2019-06-25,121,3,0.18065793
2019-06-25,121,16,0.15418181
2019-06-25,33,4,0.20602053
2019-06-25,61,6,0.14034501
2019-06-25,89,14,0.15649475
2019-06-25,69,21,0.15503911
2019-06-25,81,18,0.11461395
2019-06-25,37,21,0.19217945
2019-06-25,93,14,0.15616699
2019-06-25,21,8,0.16932607
2019-06-25,129,11,0.14522722
2019-06-25,25,26,0.17774705
2019-06-25,105,18,0.18392235
