# These are copied from the output of the lidar_lai repository.,,,
# UTC-5,,,dimensionless
date,first_row,range,lai
2018-06-14,105,25,0.019159
2018-06-14,125,22,0.024907
2018-06-14,73,14,0.070149
2018-06-14,85,7,0.015087
2018-06-14,41,24,0.050562
2018-06-14,97,22,0.010732
2018-06-14,121,11,0.041185
2018-06-14,93,19,0.028121
2018-06-14,109,10,0.016156
2018-06-14,117,14,0.015383
2018-06-14,5,2,0.035366
2018-06-14,1,17,0.043912
2018-06-14,109,7,0.015216
2018-06-14,137,29,0.048104
2018-06-14,117,4,0.060078
2018-06-14,137,9,0.02483
2018-06-14,85,30,0.070269
2018-06-14,89,21,0.012888
2018-06-14,121,20,0.006638
2018-06-14,21,23,0.02418
2018-06-14,117,7,0.014967
2018-06-14,17,8,0.016228
2018-06-14,41,3,0.013003
2018-06-14,117,19,0.018407
2018-06-14,29,24,0.043569
2018-06-14,13,12,0.026108
2018-06-14,121,30,0.053341
2018-06-14,53,16,0.027445
2018-06-14,61,24,0.003024
2018-06-14,13,26,0.009626
2018-06-14,57,16,0.024388
2018-06-14,53,6,0.029681
2018-06-14,101,9,0.018438
2018-06-14,49,5,0.050661
2018-06-14,49,15,0.034552
2018-06-14,33,9,0.046266
2018-06-14,41,6,0.028876
2018-06-14,29,18,0.017206
2018-06-14,141,30,0.008161
2018-06-14,33,11,0.071435
2018-06-14,93,6,0.062681
2018-06-14,101,3,0.11854
2018-06-14,1,8,0.044338
2018-06-14,137,28,0.082348
2018-06-14,109,8,0.022621
2018-06-14,5,8,0.098816
2018-06-14,9,22,0.05456
2018-06-14,9,5,0.042561
2018-06-14,13,29,0.038903
2018-06-14,65,18,0.045571
2018-06-14,53,21,0.037488
2018-06-14,33,7,0.036895
2018-06-14,53,25,0.021428
2018-06-14,29,15,0.053031
2018-06-14,57,11,0.017027
2018-06-14,33,17,0.060973
2018-06-14,0,25,0.024916
2018-06-14,89,6,0.09632
2018-06-14,105,2,0.020529
2018-06-14,5,3,0.048904
2018-06-14,113,10,0.042078
2018-06-14,81,20,0.013076
2018-06-14,69,17,0.051559
2018-06-14,113,28,0.103889
2018-06-14,29,6,0.040274
2018-06-14,29,16,0.034583
2018-06-14,113,12,0.028769
2018-06-14,97,28,0.035388
2018-06-14,89,7,0.037068
2018-06-14,37,18,0.036254
2018-06-14,101,4,0.033079
2018-06-14,21,20,0.010555
2018-06-14,97,12,0.021116
2018-06-14,129,28,0.048538
2018-06-14,85,15,0.010404
