date,first_row,range,lai
6/8/2018,31,65,5.559639
6/8/2018,7,125,5.824758
6/8/2018,4,21,5.499599
6/8/2018,21,61,5.023854
6/8/2018,14,65,5.620819
6/8/2018,27,21,5.574894
6/8/2018,30,65,5.795666
6/8/2018,6,133,5.562699
6/8/2018,28,133,5.837033
6/8/2018,7,113,5.97307
6/8/2018,2,29,5.060031
6/8/2018,6,41,5.48458
6/8/2018,31,97,5.91643
6/8/2018,11,17,6.301271
6/8/2018,23,45,5.236468
6/8/2018,31,37,5.774694
6/8/2018,10,89,5.745831
6/8/2018,25,137,5.898896
6/8/2018,26,77,5.327521
6/8/2018,23,5,5.844308
6/8/2018,19,37,5.668346
6/8/2018,4,125,5.315898
6/8/2018,4,25,6.02905
6/8/2018,7,137,6.025189
6/8/2018,3,129,5.436204
6/8/2018,14,77,5.560912
6/8/2018,20,97,5.529644
6/8/2018,13,61,5.306305
6/8/2018,5,1,5.873753
6/8/2018,22,113,6.062729
6/8/2018,6,45,5.943771
6/8/2018,29,125,5.699376
6/8/2018,3,133,5.515702
6/8/2018,19,53,5.323031
6/8/2018,24,45,5.962542
6/8/2018,21,49,5.928521
6/8/2018,31,45,5.020726
6/8/2018,11,89,5.861732
6/8/2018,5,25,5.828169
6/8/2018,10,41,5.81483
6/8/2018,19,0,5.628801
6/8/2018,17,125,5.641606
6/8/2018,17,93,5.899172
6/8/2018,18,29,6.0401
6/8/2018,26,141,5.730371
6/8/2018,15,129,5.836196
6/8/2018,18,37,5.871426
6/8/2018,3,5,5.936305
6/8/2018,2,25,5.963802
6/8/2018,25,125,5.816054
6/8/2018,15,77,5.484368
6/8/2018,16,21,5.677048
6/8/2018,15,33,6.165211
6/8/2018,30,25,6.137061
6/8/2018,17,129,5.946092
6/8/2018,5,125,5.184758
6/8/2018,8,73,5.967197
6/8/2018,6,77,5.876668
6/8/2018,9,129,5.879297
6/8/2018,3,41,5.671234
6/8/2018,4,81,5.670512
6/8/2018,6,53,5.628137
6/8/2018,29,89,6.358678
6/8/2018,0,2,6.358678
6/8/2018,26,73,5.611121
6/8/2018,12,61,5.611121
6/8/2018,4,105,5.9105
6/8/2018,11,57,5.992226
6/8/2018,5,13,6.026466
6/8/2018,11,121,6.136145
6/8/2018,23,49,5.729817
6/8/2018,31,117,5.796413
6/8/2018,1,89,6.152308
6/8/2018,24,93,5.704026
6/8/2018,12,57,6.032532
6/8/2018,24,69,5.0488
6/8/2018,15,101,5.846669
6/8/2018,14,37,5.713816
6/8/2018,31,13,5.263183
6/8/2018,14,25,6.157271
6/8/2018,10,69,5.799357
6/8/2018,25,85,5.86476
6/8/2018,28,61,5.461046
6/8/2018,18,49,5.734866
6/8/2018,8,53,5.95393
6/8/2018,6,65,5.754331
6/8/2018,25,17,5.954492
6/8/2018,15,9,6.04568
