date,first_row,range,height
6/8/2018,141,12,63.964421
6/8/2018,85,23,61.770456
6/8/2018,1,14,63.936963
6/8/2018,109,31,65.215978
6/8/2018,13,8,63.855762
6/8/2018,33,10,64.6252
6/8/2018,13,4,63.631746
6/8/2018,5,11,63.333125
6/8/2018,93,25,64.575201
6/8/2018,113,21,64.514862
6/8/2018,121,7,62.615488
6/8/2018,69,30,64.735593
6/8/2018,17,16,63.242583
6/8/2018,105,8,64.232993
6/8/2018,133,16,63.394486
6/8/2018,1,4,63.268076
6/8/2018,93,1,66.258301
6/8/2018,85,24,64.416818
6/8/2018,41,28,63.363143
6/8/2018,57,3,64.539762
6/8/2018,0,10,63.857517
6/8/2018,37,1,61.994529
6/8/2018,9,26,63.42491
6/8/2018,65,15,62.812057
6/8/2018,109,28,62.214201
6/8/2018,89,4,64.798076
6/8/2018,133,22,64.005437
6/8/2018,101,6,63.433463
6/8/2018,125,1,65.179431
6/8/2018,5,16,63.054754
6/8/2018,1,20,60.732082
6/8/2018,13,16,65.188256
